emoji,description,group,points,primary
😀,"grinning face",Smileys & Emotion,1F600,true
😃,"grinning face with big eyes",Smileys & Emotion,1F603,true
😄,"grinning face with smiling eyes",Smileys & Emotion,1F604,true
😁,"beaming face with smiling eyes",Smileys & Emotion,1F601,true
😆,"grinning squinting face",Smileys & Emotion,1F606,true
😅,"grinning face with sweat",Smileys & Emotion,1F605,true
🤣,"rolling on the floor laughing",Smileys & Emotion,1F923,true
😂,"face with tears of joy",Smileys & Emotion,1F602,true
🙂,"slightly smiling face",Smileys & Emotion,1F642,true
🙃,"upside-down face",Smileys & Emotion,1F643,true
🫠,"melting face",Smileys & Emotion,1FAE0,true
😉,"winking face",Smileys & Emotion,1F609,true
😊,"smiling face with smiling eyes",Smileys & Emotion,1F60A,true
😇,"smiling face with halo",Smileys & Emotion,1F607,true
🥰,"smiling face with hearts",Smileys & Emotion,1F970,true
😍,"smiling face with heart-eyes",Smileys & Emotion,1F60D,true
🤩,"star-struck",Smileys & Emotion,1F929,true
😘,"face blowing a kiss",Smileys & Emotion,1F618,true
😗,"kissing face",Smileys & Emotion,1F617,true
☺️,"smiling face",Smileys & Emotion,263A FE0F,false
😚,"kissing face with closed eyes",Smileys & Emotion,1F61A,true
😙,"kissing face with smiling eyes",Smileys & Emotion,1F619,true
🥲,"smiling face with tear",Smileys & Emotion,1F972,true
😋,"face savoring food",Smileys & Emotion,1F60B,true
😛,"face with tongue",Smileys & Emotion,1F61B,true
😜,"winking face with tongue",Smileys & Emotion,1F61C,true
🤪,"zany face",Smileys & Emotion,1F92A,true
😝,"squinting face with tongue",Smileys & Emotion,1F61D,true
🤑,"money-mouth face",Smileys & Emotion,1F911,true
🤗,"smiling face with open hands",Smileys & Emotion,1F917,true
🤭,"face with hand over mouth",Smileys & Emotion,1F92D,true
🫢,"face with open eyes and hand over mouth",Smileys & Emotion,1FAE2,true
🫣,"face with peeking eye",Smileys & Emotion,1FAE3,true
🤫,"shushing face",Smileys & Emotion,1F92B,true
🤔,"thinking face",Smileys & Emotion,1F914,true
🫡,"saluting face",Smileys & Emotion,1FAE1,true
🤐,"zipper-mouth face",Smileys & Emotion,1F910,true
🤨,"face with raised eyebrow",Smileys & Emotion,1F928,true
😐,"neutral face",Smileys & Emotion,1F610,true
😑,"expressionless face",Smileys & Emotion,1F611,true
😶,"face without mouth",Smileys & Emotion,1F636,true
🫥,"dotted line face",Smileys & Emotion,1FAE5,true
😶‍🌫️,"face in clouds",Smileys & Emotion,1F636 200D 1F32B FE0F,false
😏,"smirking face",Smileys & Emotion,1F60F,true
😒,"unamused face",Smileys & Emotion,1F612,true
🙄,"face with rolling eyes",Smileys & Emotion,1F644,true
😬,"grimacing face",Smileys & Emotion,1F62C,true
😮‍💨,"face exhaling",Smileys & Emotion,1F62E 200D 1F4A8,false
🤥,"lying face",Smileys & Emotion,1F925,true
🫨,"shaking face",Smileys & Emotion,1FAE8,true
🙂‍↔️,"head shaking horizontally",Smileys & Emotion,1F642 200D 2194 FE0F,false
🙂‍↕️,"head shaking vertically",Smileys & Emotion,1F642 200D 2195 FE0F,false
😌,"relieved face",Smileys & Emotion,1F60C,true
😔,"pensive face",Smileys & Emotion,1F614,true
😪,"sleepy face",Smileys & Emotion,1F62A,true
🤤,"drooling face",Smileys & Emotion,1F924,true
😴,"sleeping face",Smileys & Emotion,1F634,true
😷,"face with medical mask",Smileys & Emotion,1F637,true
🤒,"face with thermometer",Smileys & Emotion,1F912,true
🤕,"face with head-bandage",Smileys & Emotion,1F915,true
🤢,"nauseated face",Smileys & Emotion,1F922,true
🤮,"face vomiting",Smileys & Emotion,1F92E,true
🤧,"sneezing face",Smileys & Emotion,1F927,true
🥵,"hot face",Smileys & Emotion,1F975,true
🥶,"cold face",Smileys & Emotion,1F976,true
🥴,"woozy face",Smileys & Emotion,1F974,true
😵,"face with crossed-out eyes",Smileys & Emotion,1F635,true
😵‍💫,"face with spiral eyes",Smileys & Emotion,1F635 200D 1F4AB,false
🤯,"exploding head",Smileys & Emotion,1F92F,true
🤠,"cowboy hat face",Smileys & Emotion,1F920,true
🥳,"partying face",Smileys & Emotion,1F973,true
🥸,"disguised face",Smileys & Emotion,1F978,true
😎,"smiling face with sunglasses",Smileys & Emotion,1F60E,true
🤓,"nerd face",Smileys & Emotion,1F913,true
🧐,"face with monocle",Smileys & Emotion,1F9D0,true
😕,"confused face",Smileys & Emotion,1F615,true
🫤,"face with diagonal mouth",Smileys & Emotion,1FAE4,true
😟,"worried face",Smileys & Emotion,1F61F,true
🙁,"slightly frowning face",Smileys & Emotion,1F641,true
☹️,"frowning face",Smileys & Emotion,2639 FE0F,false
😮,"face with open mouth",Smileys & Emotion,1F62E,true
😯,"hushed face",Smileys & Emotion,1F62F,true
😲,"astonished face",Smileys & Emotion,1F632,true
😳,"flushed face",Smileys & Emotion,1F633,true
🥺,"pleading face",Smileys & Emotion,1F97A,true
🥹,"face holding back tears",Smileys & Emotion,1F979,true
😦,"frowning face with open mouth",Smileys & Emotion,1F626,true
😧,"anguished face",Smileys & Emotion,1F627,true
😨,"fearful face",Smileys & Emotion,1F628,true
😰,"anxious face with sweat",Smileys & Emotion,1F630,true
😥,"sad but relieved face",Smileys & Emotion,1F625,true
😢,"crying face",Smileys & Emotion,1F622,true
😭,"loudly crying face",Smileys & Emotion,1F62D,true
😱,"face screaming in fear",Smileys & Emotion,1F631,true
😖,"confounded face",Smileys & Emotion,1F616,true
😣,"persevering face",Smileys & Emotion,1F623,true
😞,"disappointed face",Smileys & Emotion,1F61E,true
😓,"downcast face with sweat",Smileys & Emotion,1F613,true
😩,"weary face",Smileys & Emotion,1F629,true
😫,"tired face",Smileys & Emotion,1F62B,true
🥱,"yawning face",Smileys & Emotion,1F971,true
😤,"face with steam from nose",Smileys & Emotion,1F624,true
😡,"enraged face",Smileys & Emotion,1F621,true
😠,"angry face",Smileys & Emotion,1F620,true
🤬,"face with symbols on mouth",Smileys & Emotion,1F92C,true
😈,"smiling face with horns",Smileys & Emotion,1F608,true
👿,"angry face with horns",Smileys & Emotion,1F47F,true
💀,"skull",Smileys & Emotion,1F480,true
☠️,"skull and crossbones",Smileys & Emotion,2620 FE0F,false
💩,"pile of poo",Smileys & Emotion,1F4A9,true
🤡,"clown face",Smileys & Emotion,1F921,true
👹,"ogre",Smileys & Emotion,1F479,true
👺,"goblin",Smileys & Emotion,1F47A,true
👻,"ghost",Smileys & Emotion,1F47B,true
👽,"alien",Smileys & Emotion,1F47D,true
👾,"alien monster",Smileys & Emotion,1F47E,true
🤖,"robot",Smileys & Emotion,1F916,true
😺,"grinning cat",Smileys & Emotion,1F63A,true
😸,"grinning cat with smiling eyes",Smileys & Emotion,1F638,true
😹,"cat with tears of joy",Smileys & Emotion,1F639,true
😻,"smiling cat with heart-eyes",Smileys & Emotion,1F63B,true
😼,"cat with wry smile",Smileys & Emotion,1F63C,true
😽,"kissing cat",Smileys & Emotion,1F63D,true
🙀,"weary cat",Smileys & Emotion,1F640,true
😿,"crying cat",Smileys & Emotion,1F63F,true
😾,"pouting cat",Smileys & Emotion,1F63E,true
🙈,"see-no-evil monkey",Smileys & Emotion,1F648,true
🙉,"hear-no-evil monkey",Smileys & Emotion,1F649,true
🙊,"speak-no-evil monkey",Smileys & Emotion,1F64A,true
💌,"love letter",Smileys & Emotion,1F48C,true
💘,"heart with arrow",Smileys & Emotion,1F498,true
💝,"heart with ribbon",Smileys & Emotion,1F49D,true
💖,"sparkling heart",Smileys & Emotion,1F496,true
💗,"growing heart",Smileys & Emotion,1F497,true
💓,"beating heart",Smileys & Emotion,1F493,true
💞,"revolving hearts",Smileys & Emotion,1F49E,true
💕,"two hearts",Smileys & Emotion,1F495,true
💟,"heart decoration",Smileys & Emotion,1F49F,true
❣️,"heart exclamation",Smileys & Emotion,2763 FE0F,false
💔,"broken heart",Smileys & Emotion,1F494,true
❤️‍🔥,"heart on fire",Smileys & Emotion,2764 FE0F 200D 1F525,false
❤️‍🩹,"mending heart",Smileys & Emotion,2764 FE0F 200D 1FA79,false
❤️,"red heart",Smileys & Emotion,2764 FE0F,false
🩷,"pink heart",Smileys & Emotion,1FA77,true
🧡,"orange heart",Smileys & Emotion,1F9E1,true
💛,"yellow heart",Smileys & Emotion,1F49B,true
💚,"green heart",Smileys & Emotion,1F49A,true
💙,"blue heart",Smileys & Emotion,1F499,true
🩵,"light blue heart",Smileys & Emotion,1FA75,true
💜,"purple heart",Smileys & Emotion,1F49C,true
🤎,"brown heart",Smileys & Emotion,1F90E,true
🖤,"black heart",Smileys & Emotion,1F5A4,true
🩶,"grey heart",Smileys & Emotion,1FA76,true
🤍,"white heart",Smileys & Emotion,1F90D,true
💋,"kiss mark",Smileys & Emotion,1F48B,true
💯,"hundred points",Smileys & Emotion,1F4AF,true
💢,"anger symbol",Smileys & Emotion,1F4A2,true
💥,"collision",Smileys & Emotion,1F4A5,true
💫,"dizzy",Smileys & Emotion,1F4AB,true
💦,"sweat droplets",Smileys & Emotion,1F4A6,true
💨,"dashing away",Smileys & Emotion,1F4A8,true
🕳️,"hole",Smileys & Emotion,1F573 FE0F,false
💬,"speech balloon",Smileys & Emotion,1F4AC,true
👁️‍🗨️,"eye in speech bubble",Smileys & Emotion,1F441 FE0F 200D 1F5E8 FE0F,false
🗨️,"left speech bubble",Smileys & Emotion,1F5E8 FE0F,false
🗯️,"right anger bubble",Smileys & Emotion,1F5EF FE0F,false
💭,"thought balloon",Smileys & Emotion,1F4AD,true
💤,"ZZZ",Smileys & Emotion,1F4A4,true
👋,"waving hand",People & Body,1F44B,true
👋🏻,"waving hand: light skin tone",People & Body,1F44B 1F3FB,false
👋🏼,"waving hand: medium-light skin tone",People & Body,1F44B 1F3FC,false
👋🏽,"waving hand: medium skin tone",People & Body,1F44B 1F3FD,false
👋🏾,"waving hand: medium-dark skin tone",People & Body,1F44B 1F3FE,false
👋🏿,"waving hand: dark skin tone",People & Body,1F44B 1F3FF,false
🤚,"raised back of hand",People & Body,1F91A,true
🤚🏻,"raised back of hand: light skin tone",People & Body,1F91A 1F3FB,false
🤚🏼,"raised back of hand: medium-light skin tone",People & Body,1F91A 1F3FC,false
🤚🏽,"raised back of hand: medium skin tone",People & Body,1F91A 1F3FD,false
🤚🏾,"raised back of hand: medium-dark skin tone",People & Body,1F91A 1F3FE,false
🤚🏿,"raised back of hand: dark skin tone",People & Body,1F91A 1F3FF,false
🖐️,"hand with fingers splayed",People & Body,1F590 FE0F,false
🖐🏻,"hand with fingers splayed: light skin tone",People & Body,1F590 1F3FB,false
🖐🏼,"hand with fingers splayed: medium-light skin tone",People & Body,1F590 1F3FC,false
🖐🏽,"hand with fingers splayed: medium skin tone",People & Body,1F590 1F3FD,false
🖐🏾,"hand with fingers splayed: medium-dark skin tone",People & Body,1F590 1F3FE,false
🖐🏿,"hand with fingers splayed: dark skin tone",People & Body,1F590 1F3FF,false
✋,"raised hand",People & Body,270B,true
✋🏻,"raised hand: light skin tone",People & Body,270B 1F3FB,false
✋🏼,"raised hand: medium-light skin tone",People & Body,270B 1F3FC,false
✋🏽,"raised hand: medium skin tone",People & Body,270B 1F3FD,false
✋🏾,"raised hand: medium-dark skin tone",People & Body,270B 1F3FE,false
✋🏿,"raised hand: dark skin tone",People & Body,270B 1F3FF,false
🖖,"vulcan salute",People & Body,1F596,true
🖖🏻,"vulcan salute: light skin tone",People & Body,1F596 1F3FB,false
🖖🏼,"vulcan salute: medium-light skin tone",People & Body,1F596 1F3FC,false
🖖🏽,"vulcan salute: medium skin tone",People & Body,1F596 1F3FD,false
🖖🏾,"vulcan salute: medium-dark skin tone",People & Body,1F596 1F3FE,false
🖖🏿,"vulcan salute: dark skin tone",People & Body,1F596 1F3FF,false
🫱,"rightwards hand",People & Body,1FAF1,true
🫱🏻,"rightwards hand: light skin tone",People & Body,1FAF1 1F3FB,false
🫱🏼,"rightwards hand: medium-light skin tone",People & Body,1FAF1 1F3FC,false
🫱🏽,"rightwards hand: medium skin tone",People & Body,1FAF1 1F3FD,false
🫱🏾,"rightwards hand: medium-dark skin tone",People & Body,1FAF1 1F3FE,false
🫱🏿,"rightwards hand: dark skin tone",People & Body,1FAF1 1F3FF,false
🫲,"leftwards hand",People & Body,1FAF2,true
🫲🏻,"leftwards hand: light skin tone",People & Body,1FAF2 1F3FB,false
🫲🏼,"leftwards hand: medium-light skin tone",People & Body,1FAF2 1F3FC,false
🫲🏽,"leftwards hand: medium skin tone",People & Body,1FAF2 1F3FD,false
🫲🏾,"leftwards hand: medium-dark skin tone",People & Body,1FAF2 1F3FE,false
🫲🏿,"leftwards hand: dark skin tone",People & Body,1FAF2 1F3FF,false
🫳,"palm down hand",People & Body,1FAF3,true
🫳🏻,"palm down hand: light skin tone",People & Body,1FAF3 1F3FB,false
🫳🏼,"palm down hand: medium-light skin tone",People & Body,1FAF3 1F3FC,false
🫳🏽,"palm down hand: medium skin tone",People & Body,1FAF3 1F3FD,false
🫳🏾,"palm down hand: medium-dark skin tone",People & Body,1FAF3 1F3FE,false
🫳🏿,"palm down hand: dark skin tone",People & Body,1FAF3 1F3FF,false
🫴,"palm up hand",People & Body,1FAF4,true
🫴🏻,"palm up hand: light skin tone",People & Body,1FAF4 1F3FB,false
🫴🏼,"palm up hand: medium-light skin tone",People & Body,1FAF4 1F3FC,false
🫴🏽,"palm up hand: medium skin tone",People & Body,1FAF4 1F3FD,false
🫴🏾,"palm up hand: medium-dark skin tone",People & Body,1FAF4 1F3FE,false
🫴🏿,"palm up hand: dark skin tone",People & Body,1FAF4 1F3FF,false
🫷,"leftwards pushing hand",People & Body,1FAF7,true
🫷🏻,"leftwards pushing hand: light skin tone",People & Body,1FAF7 1F3FB,false
🫷🏼,"leftwards pushing hand: medium-light skin tone",People & Body,1FAF7 1F3FC,false
🫷🏽,"leftwards pushing hand: medium skin tone",People & Body,1FAF7 1F3FD,false
🫷🏾,"leftwards pushing hand: medium-dark skin tone",People & Body,1FAF7 1F3FE,false
🫷🏿,"leftwards pushing hand: dark skin tone",People & Body,1FAF7 1F3FF,false
🫸,"rightwards pushing hand",People & Body,1FAF8,true
🫸🏻,"rightwards pushing hand: light skin tone",People & Body,1FAF8 1F3FB,false
🫸🏼,"rightwards pushing hand: medium-light skin tone",People & Body,1FAF8 1F3FC,false
🫸🏽,"rightwards pushing hand: medium skin tone",People & Body,1FAF8 1F3FD,false
🫸🏾,"rightwards pushing hand: medium-dark skin tone",People & Body,1FAF8 1F3FE,false
🫸🏿,"rightwards pushing hand: dark skin tone",People & Body,1FAF8 1F3FF,false
👌,"OK hand",People & Body,1F44C,true
👌🏻,"OK hand: light skin tone",People & Body,1F44C 1F3FB,false
👌🏼,"OK hand: medium-light skin tone",People & Body,1F44C 1F3FC,false
👌🏽,"OK hand: medium skin tone",People & Body,1F44C 1F3FD,false
👌🏾,"OK hand: medium-dark skin tone",People & Body,1F44C 1F3FE,false
👌🏿,"OK hand: dark skin tone",People & Body,1F44C 1F3FF,false
🤌,"pinched fingers",People & Body,1F90C,true
🤌🏻,"pinched fingers: light skin tone",People & Body,1F90C 1F3FB,false
🤌🏼,"pinched fingers: medium-light skin tone",People & Body,1F90C 1F3FC,false
🤌🏽,"pinched fingers: medium skin tone",People & Body,1F90C 1F3FD,false
🤌🏾,"pinched fingers: medium-dark skin tone",People & Body,1F90C 1F3FE,false
🤌🏿,"pinched fingers: dark skin tone",People & Body,1F90C 1F3FF,false
🤏,"pinching hand",People & Body,1F90F,true
🤏🏻,"pinching hand: light skin tone",People & Body,1F90F 1F3FB,false
🤏🏼,"pinching hand: medium-light skin tone",People & Body,1F90F 1F3FC,false
🤏🏽,"pinching hand: medium skin tone",People & Body,1F90F 1F3FD,false
🤏🏾,"pinching hand: medium-dark skin tone",People & Body,1F90F 1F3FE,false
🤏🏿,"pinching hand: dark skin tone",People & Body,1F90F 1F3FF,false
✌️,"victory hand",People & Body,270C FE0F,false
✌🏻,"victory hand: light skin tone",People & Body,270C 1F3FB,false
✌🏼,"victory hand: medium-light skin tone",People & Body,270C 1F3FC,false
✌🏽,"victory hand: medium skin tone",People & Body,270C 1F3FD,false
✌🏾,"victory hand: medium-dark skin tone",People & Body,270C 1F3FE,false
✌🏿,"victory hand: dark skin tone",People & Body,270C 1F3FF,false
🤞,"crossed fingers",People & Body,1F91E,true
🤞🏻,"crossed fingers: light skin tone",People & Body,1F91E 1F3FB,false
🤞🏼,"crossed fingers: medium-light skin tone",People & Body,1F91E 1F3FC,false
🤞🏽,"crossed fingers: medium skin tone",People & Body,1F91E 1F3FD,false
🤞🏾,"crossed fingers: medium-dark skin tone",People & Body,1F91E 1F3FE,false
🤞🏿,"crossed fingers: dark skin tone",People & Body,1F91E 1F3FF,false
🫰,"hand with index finger and thumb crossed",People & Body,1FAF0,true
🫰🏻,"hand with index finger and thumb crossed: light skin tone",People & Body,1FAF0 1F3FB,false
🫰🏼,"hand with index finger and thumb crossed: medium-light skin tone",People & Body,1FAF0 1F3FC,false
🫰🏽,"hand with index finger and thumb crossed: medium skin tone",People & Body,1FAF0 1F3FD,false
🫰🏾,"hand with index finger and thumb crossed: medium-dark skin tone",People & Body,1FAF0 1F3FE,false
🫰🏿,"hand with index finger and thumb crossed: dark skin tone",People & Body,1FAF0 1F3FF,false
🤟,"love-you gesture",People & Body,1F91F,true
🤟🏻,"love-you gesture: light skin tone",People & Body,1F91F 1F3FB,false
🤟🏼,"love-you gesture: medium-light skin tone",People & Body,1F91F 1F3FC,false
🤟🏽,"love-you gesture: medium skin tone",People & Body,1F91F 1F3FD,false
🤟🏾,"love-you gesture: medium-dark skin tone",People & Body,1F91F 1F3FE,false
🤟🏿,"love-you gesture: dark skin tone",People & Body,1F91F 1F3FF,false
🤘,"sign of the horns",People & Body,1F918,true
🤘🏻,"sign of the horns: light skin tone",People & Body,1F918 1F3FB,false
🤘🏼,"sign of the horns: medium-light skin tone",People & Body,1F918 1F3FC,false
🤘🏽,"sign of the horns: medium skin tone",People & Body,1F918 1F3FD,false
🤘🏾,"sign of the horns: medium-dark skin tone",People & Body,1F918 1F3FE,false
🤘🏿,"sign of the horns: dark skin tone",People & Body,1F918 1F3FF,false
🤙,"call me hand",People & Body,1F919,true
🤙🏻,"call me hand: light skin tone",People & Body,1F919 1F3FB,false
🤙🏼,"call me hand: medium-light skin tone",People & Body,1F919 1F3FC,false
🤙🏽,"call me hand: medium skin tone",People & Body,1F919 1F3FD,false
🤙🏾,"call me hand: medium-dark skin tone",People & Body,1F919 1F3FE,false
🤙🏿,"call me hand: dark skin tone",People & Body,1F919 1F3FF,false
👈,"backhand index pointing left",People & Body,1F448,true
👈🏻,"backhand index pointing left: light skin tone",People & Body,1F448 1F3FB,false
👈🏼,"backhand index pointing left: medium-light skin tone",People & Body,1F448 1F3FC,false
👈🏽,"backhand index pointing left: medium skin tone",People & Body,1F448 1F3FD,false
👈🏾,"backhand index pointing left: medium-dark skin tone",People & Body,1F448 1F3FE,false
👈🏿,"backhand index pointing left: dark skin tone",People & Body,1F448 1F3FF,false
👉,"backhand index pointing right",People & Body,1F449,true
👉🏻,"backhand index pointing right: light skin tone",People & Body,1F449 1F3FB,false
👉🏼,"backhand index pointing right: medium-light skin tone",People & Body,1F449 1F3FC,false
👉🏽,"backhand index pointing right: medium skin tone",People & Body,1F449 1F3FD,false
👉🏾,"backhand index pointing right: medium-dark skin tone",People & Body,1F449 1F3FE,false
👉🏿,"backhand index pointing right: dark skin tone",People & Body,1F449 1F3FF,false
👆,"backhand index pointing up",People & Body,1F446,true
👆🏻,"backhand index pointing up: light skin tone",People & Body,1F446 1F3FB,false
👆🏼,"backhand index pointing up: medium-light skin tone",People & Body,1F446 1F3FC,false
👆🏽,"backhand index pointing up: medium skin tone",People & Body,1F446 1F3FD,false
👆🏾,"backhand index pointing up: medium-dark skin tone",People & Body,1F446 1F3FE,false
👆🏿,"backhand index pointing up: dark skin tone",People & Body,1F446 1F3FF,false
🖕,"middle finger",People & Body,1F595,true
🖕🏻,"middle finger: light skin tone",People & Body,1F595 1F3FB,false
🖕🏼,"middle finger: medium-light skin tone",People & Body,1F595 1F3FC,false
🖕🏽,"middle finger: medium skin tone",People & Body,1F595 1F3FD,false
🖕🏾,"middle finger: medium-dark skin tone",People & Body,1F595 1F3FE,false
🖕🏿,"middle finger: dark skin tone",People & Body,1F595 1F3FF,false
👇,"backhand index pointing down",People & Body,1F447,true
👇🏻,"backhand index pointing down: light skin tone",People & Body,1F447 1F3FB,false
👇🏼,"backhand index pointing down: medium-light skin tone",People & Body,1F447 1F3FC,false
👇🏽,"backhand index pointing down: medium skin tone",People & Body,1F447 1F3FD,false
👇🏾,"backhand index pointing down: medium-dark skin tone",People & Body,1F447 1F3FE,false
👇🏿,"backhand index pointing down: dark skin tone",People & Body,1F447 1F3FF,false
☝️,"index pointing up",People & Body,261D FE0F,false
☝🏻,"index pointing up: light skin tone",People & Body,261D 1F3FB,false
☝🏼,"index pointing up: medium-light skin tone",People & Body,261D 1F3FC,false
☝🏽,"index pointing up: medium skin tone",People & Body,261D 1F3FD,false
☝🏾,"index pointing up: medium-dark skin tone",People & Body,261D 1F3FE,false
☝🏿,"index pointing up: dark skin tone",People & Body,261D 1F3FF,false
🫵,"index pointing at the viewer",People & Body,1FAF5,true
🫵🏻,"index pointing at the viewer: light skin tone",People & Body,1FAF5 1F3FB,false
🫵🏼,"index pointing at the viewer: medium-light skin tone",People & Body,1FAF5 1F3FC,false
🫵🏽,"index pointing at the viewer: medium skin tone",People & Body,1FAF5 1F3FD,false
🫵🏾,"index pointing at the viewer: medium-dark skin tone",People & Body,1FAF5 1F3FE,false
🫵🏿,"index pointing at the viewer: dark skin tone",People & Body,1FAF5 1F3FF,false
👍,"thumbs up",People & Body,1F44D,true
👍🏻,"thumbs up: light skin tone",People & Body,1F44D 1F3FB,false
👍🏼,"thumbs up: medium-light skin tone",People & Body,1F44D 1F3FC,false
👍🏽,"thumbs up: medium skin tone",People & Body,1F44D 1F3FD,false
👍🏾,"thumbs up: medium-dark skin tone",People & Body,1F44D 1F3FE,false
👍🏿,"thumbs up: dark skin tone",People & Body,1F44D 1F3FF,false
👎,"thumbs down",People & Body,1F44E,true
👎🏻,"thumbs down: light skin tone",People & Body,1F44E 1F3FB,false
👎🏼,"thumbs down: medium-light skin tone",People & Body,1F44E 1F3FC,false
👎🏽,"thumbs down: medium skin tone",People & Body,1F44E 1F3FD,false
👎🏾,"thumbs down: medium-dark skin tone",People & Body,1F44E 1F3FE,false
👎🏿,"thumbs down: dark skin tone",People & Body,1F44E 1F3FF,false
✊,"raised fist",People & Body,270A,true
✊🏻,"raised fist: light skin tone",People & Body,270A 1F3FB,false
✊🏼,"raised fist: medium-light skin tone",People & Body,270A 1F3FC,false
✊🏽,"raised fist: medium skin tone",People & Body,270A 1F3FD,false
✊🏾,"raised fist: medium-dark skin tone",People & Body,270A 1F3FE,false
✊🏿,"raised fist: dark skin tone",People & Body,270A 1F3FF,false
👊,"oncoming fist",People & Body,1F44A,true
👊🏻,"oncoming fist: light skin tone",People & Body,1F44A 1F3FB,false
👊🏼,"oncoming fist: medium-light skin tone",People & Body,1F44A 1F3FC,false
👊🏽,"oncoming fist: medium skin tone",People & Body,1F44A 1F3FD,false
👊🏾,"oncoming fist: medium-dark skin tone",People & Body,1F44A 1F3FE,false
👊🏿,"oncoming fist: dark skin tone",People & Body,1F44A 1F3FF,false
🤛,"left-facing fist",People & Body,1F91B,true
🤛🏻,"left-facing fist: light skin tone",People & Body,1F91B 1F3FB,false
🤛🏼,"left-facing fist: medium-light skin tone",People & Body,1F91B 1F3FC,false
🤛🏽,"left-facing fist: medium skin tone",People & Body,1F91B 1F3FD,false
🤛🏾,"left-facing fist: medium-dark skin tone",People & Body,1F91B 1F3FE,false
🤛🏿,"left-facing fist: dark skin tone",People & Body,1F91B 1F3FF,false
🤜,"right-facing fist",People & Body,1F91C,true
🤜🏻,"right-facing fist: light skin tone",People & Body,1F91C 1F3FB,false
🤜🏼,"right-facing fist: medium-light skin tone",People & Body,1F91C 1F3FC,false
🤜🏽,"right-facing fist: medium skin tone",People & Body,1F91C 1F3FD,false
🤜🏾,"right-facing fist: medium-dark skin tone",People & Body,1F91C 1F3FE,false
🤜🏿,"right-facing fist: dark skin tone",People & Body,1F91C 1F3FF,false
👏,"clapping hands",People & Body,1F44F,true
👏🏻,"clapping hands: light skin tone",People & Body,1F44F 1F3FB,false
👏🏼,"clapping hands: medium-light skin tone",People & Body,1F44F 1F3FC,false
👏🏽,"clapping hands: medium skin tone",People & Body,1F44F 1F3FD,false
👏🏾,"clapping hands: medium-dark skin tone",People & Body,1F44F 1F3FE,false
👏🏿,"clapping hands: dark skin tone",People & Body,1F44F 1F3FF,false
🙌,"raising hands",People & Body,1F64C,true
🙌🏻,"raising hands: light skin tone",People & Body,1F64C 1F3FB,false
🙌🏼,"raising hands: medium-light skin tone",People & Body,1F64C 1F3FC,false
🙌🏽,"raising hands: medium skin tone",People & Body,1F64C 1F3FD,false
🙌🏾,"raising hands: medium-dark skin tone",People & Body,1F64C 1F3FE,false
🙌🏿,"raising hands: dark skin tone",People & Body,1F64C 1F3FF,false
🫶,"heart hands",People & Body,1FAF6,true
🫶🏻,"heart hands: light skin tone",People & Body,1FAF6 1F3FB,false
🫶🏼,"heart hands: medium-light skin tone",People & Body,1FAF6 1F3FC,false
🫶🏽,"heart hands: medium skin tone",People & Body,1FAF6 1F3FD,false
🫶🏾,"heart hands: medium-dark skin tone",People & Body,1FAF6 1F3FE,false
🫶🏿,"heart hands: dark skin tone",People & Body,1FAF6 1F3FF,false
👐,"open hands",People & Body,1F450,true
👐🏻,"open hands: light skin tone",People & Body,1F450 1F3FB,false
👐🏼,"open hands: medium-light skin tone",People & Body,1F450 1F3FC,false
👐🏽,"open hands: medium skin tone",People & Body,1F450 1F3FD,false
👐🏾,"open hands: medium-dark skin tone",People & Body,1F450 1F3FE,false
👐🏿,"open hands: dark skin tone",People & Body,1F450 1F3FF,false
🤲,"palms up together",People & Body,1F932,true
🤲🏻,"palms up together: light skin tone",People & Body,1F932 1F3FB,false
🤲🏼,"palms up together: medium-light skin tone",People & Body,1F932 1F3FC,false
🤲🏽,"palms up together: medium skin tone",People & Body,1F932 1F3FD,false
🤲🏾,"palms up together: medium-dark skin tone",People & Body,1F932 1F3FE,false
🤲🏿,"palms up together: dark skin tone",People & Body,1F932 1F3FF,false
🤝,"handshake",People & Body,1F91D,true
🤝🏻,"handshake: light skin tone",People & Body,1F91D 1F3FB,false
🤝🏼,"handshake: medium-light skin tone",People & Body,1F91D 1F3FC,false
🤝🏽,"handshake: medium skin tone",People & Body,1F91D 1F3FD,false
🤝🏾,"handshake: medium-dark skin tone",People & Body,1F91D 1F3FE,false
🤝🏿,"handshake: dark skin tone",People & Body,1F91D 1F3FF,false
🫱🏻‍🫲🏼,"handshake: light skin tone, medium-light skin tone",People & Body,1FAF1 1F3FB 200D 1FAF2 1F3FC,false
🫱🏻‍🫲🏽,"handshake: light skin tone, medium skin tone",People & Body,1FAF1 1F3FB 200D 1FAF2 1F3FD,false
🫱🏻‍🫲🏾,"handshake: light skin tone, medium-dark skin tone",People & Body,1FAF1 1F3FB 200D 1FAF2 1F3FE,false
🫱🏻‍🫲🏿,"handshake: light skin tone, dark skin tone",People & Body,1FAF1 1F3FB 200D 1FAF2 1F3FF,false
🫱🏼‍🫲🏻,"handshake: medium-light skin tone, light skin tone",People & Body,1FAF1 1F3FC 200D 1FAF2 1F3FB,false
🫱🏼‍🫲🏽,"handshake: medium-light skin tone, medium skin tone",People & Body,1FAF1 1F3FC 200D 1FAF2 1F3FD,false
