emoji,description,group,points,primary
💂,"guard",People & Body,1F482,true
💂🏻,"guard: light skin tone",People & Body,1F482 1F3FB,false
💂🏼,"guard: medium-light skin tone",People & Body,1F482 1F3FC,false
💂🏽,"guard: medium skin tone",People & Body,1F482 1F3FD,false
💂🏾,"guard: medium-dark skin tone",People & Body,1F482 1F3FE,false
💂🏿,"guard: dark skin tone",People & Body,1F482 1F3FF,false
💂‍♂️,"man guard",People & Body,1F482 200D 2642 FE0F,false
💂🏻‍♂️,"man guard: light skin tone",People & Body,1F482 1F3FB 200D 2642 FE0F,false
💂🏼‍♂️,"man guard: medium-light skin tone",People & Body,1F482 1F3FC 200D 2642 FE0F,false
💂🏽‍♂️,"man guard: medium skin tone",People & Body,1F482 1F3FD 200D 2642 FE0F,false
💂🏾‍♂️,"man guard: medium-dark skin tone",People & Body,1F482 1F3FE 200D 2642 FE0F,false
💂🏿‍♂️,"man guard: dark skin tone",People & Body,1F482 1F3FF 200D 2642 FE0F,false
💂‍♀️,"woman guard",People & Body,1F482 200D 2640 FE0F,false
💂🏻‍♀️,"woman guard: light skin tone",People & Body,1F482 1F3FB 200D 2640 FE0F,false
💂🏼‍♀️,"woman guard: medium-light skin tone",People & Body,1F482 1F3FC 200D 2640 FE0F,false
💂🏽‍♀️,"woman guard: medium skin tone",People & Body,1F482 1F3FD 200D 2640 FE0F,false
💂🏾‍♀️,"woman guard: medium-dark skin tone",People & Body,1F482 1F3FE 200D 2640 FE0F,false
💂🏿‍♀️,"woman guard: dark skin tone",People & Body,1F482 1F3FF 200D 2640 FE0F,false
